molecule_name,energy,trotter_steps,threshold_gamma,optimal_parameters
H_2,-1.8496717733200672,6,1.0,"[0.03907565363479537, 4.116767771757303, -1.5174967428108403, 4.454365643429823, -1.816721895931696, 4.641640512594538, -0.2348819558814177, 9.42477796076938, -3.4645580914271132, 3.432520814188563, 0.8440614903603302, 0.027873664628852393, -7.042317615625569, 8.7664068634002, 4.7589538468656185, -3.417700991777717, 0.8333333333333334, 1.0]"
H_2,-1.8290250047985976,7,0.0,"[9.42477796076938, 5.547448781983931, 4.736047472598532, 2.4358015994199316, 2.1781016631372005, 0.5758915758526724, 2.095644818059908, 0.14285714285714285, 0.2857142857142857, 5.089416596955882, 0.5714285714285714, 0.7142857142857143, 0.8574079396045726, 6.253501809484548, 0.9636113998300653, 1.1069059287490393, 1.2493212675033232, 1.392178410360466, 1.5350355532176088, 2.3219002280501684, 1.820758043865233]"
H_2,-1.849671773320004,7,0.5,"[0.4279470897905855, 4.008365543890823, -0.9218277892848732, 5.3515935730099295, -2.5641871899216904, 4.770102246984784, 2.4527461531284596, 9.42477796076938, 9.42477796076938, 4.687062780007551, 8.832507035358955, -5.176265366939818, 9.189269996190365, -6.073174979791823, -0.32424000705403494, 2.3393310654961876, 0.7213700114591005, 0.0836501699189226, 0.7142857142857143, 0.8571428571428571, 1.0]"
H_2,-1.84967177332006,7,1.0,"[0.4279470897905855, 4.008377748875215, -0.9217649537333609, 5.351568224196192, -2.5642804179590186, 4.770180471315767, 2.4527461531284596, 9.42477796076938, 9.42477796076938, 4.687062780007551, 8.832507035358955, -5.176200511195147, 9.189361768284542, -6.073221938804572, -0.32424000705403494, 2.3393310654961876, 0.7213700114591005, 0.0836501699189226, 0.7142857142857143, 0.8571428571428571, 1.0]"
H_2,-1.8290250047986003,8,0.0,"[1.0188248204813342, 0.9811751795186658, 1.486367783558991, 0.09760224569653658, -1.3373696697110107, 3.3471742637117057, 0.6968470467940997, 3.6796017291185428, 2.481194490192345, 2.529183860950524, 1.2842431435694033, -0.23631077818510782, 0.03595137745191379, 1.236367783558991, 1.6840789918104329, 2.1690770186155333, 0.9697107406868819, 1.0527846255022966, 1.1619546628248112, 1.2664184950269926, 1.5518554118781585, 1.666587327979249, 1.7813192440803394, 1.8960511601814298]"
H_2,-1.8496717733195387,8,0.5,"[0.20486636482796108, 4.976874050560669, -2.5627705239636986, 4.542042722204527, -3.774075246903246, 7.0405999792544245, -4.443837741918332, 6.442037361290076, 9.42477796076938, 9.42477796076938, -4.906317574175477, 5.684767465067613, -5.866576448059375, 3.4559855100196426, 0.38255949814735934, 0.09975161028760804, 2.03940802328128, 0.5445243112740431, 1.1092974284010078, 0.0331904714865508, 0.625, 0.75, 0.875, 1.0]"
H_2,-1.8496717733196049,8,1.0,"[0.20486636482796108, 4.976874050560669, -2.5627705239636986, 4.542042722204527, -3.774075246903246, 7.0405999792544245, -4.443837741918332, 6.442037361290076, 9.42477796076938, 9.42477796076938, -4.906317574175477, 5.684767465067613, -5.866576448059375, 3.4559855100196426, 0.38255949814735934, 0.09975161028760804, 2.03940802328128, 0.5445243112740431, 1.1092974284010078, 0.0331904714865508, 0.625, 0.75, 0.875, 1.0]"
H_2,-1.8290250047986003,9,0.0,"[3.1353012567368133, 5.970097752749478, -1.3561944901923448, -1.3561944901923448, 3.356194490192345, 3.144814462692959, 1.9476908056844935, 1.0679946453247522, 3.404674256658762, -4.601277869273579, 0.2222222222222222, 1.5673356560324492, -1.0980584589294509, 0.6612455693052484, 0.5589704998782064, 1.0881962779086005, 0.8888888888888892, 5.153387283259566, 0.913361723570459, 1.02447283468157, 1.263411732692647, 1.3794499928179529, 1.3577179344321797, 1.6016722150401752, 1.7127833261512864, 1.669644146925008, 1.7807552580361192]"
H_2,-1.849671773319742,9,0.5,"[0.10893973997790848, 4.936898726082527, -2.66748519857375, 4.354468351304288, -2.193081193498096, 7.193133026534412, -4.908391480000356, 7.618107600381643, 1.5890486225480864, 9.391006308271004, 8.587084079960725, 7.3908408428537555, 7.875750743771194, -2.5829691364584666, 9.158013021525989, -8.005218130955992, 9.171280503737016, -6.964852870407709, 0.7001597336591974, 1.6948437785924377, 0.5565275379706941, 0.8229542038552264, 1.1233201946717286, 0.37386808377899483, 0.7777777777777778, 0.8888888888888888, 1.0]"
H_2,-1.8496717733198145,9,1.0,"[0.10893973997790848, 4.936898726082527, -2.66748519857375, 4.354468351304288, -2.193081193498096, 7.193133026534412, -4.908391480000356, 7.618107600381643, 1.5890486225480864, 9.391006308271004, 8.587084079960725, 7.3908408428537555, 7.875750743771194, -2.5829691364584666, 9.158013021525989, -8.005218130955992, 9.171280503737016, -6.964852870407709, 0.7001597336591974, 1.6948437785924377, 0.5565275379706941, 0.8229542038552264, 1.1233201946717286, 0.37386808377899483, 0.7777777777777778, 0.8888888888888888, 1.0]"
H_2,-1.8290250047986023,10,0.0,"[2.1780972450961724, -0.17809724509617242, -1.4279518584153532, 0.6667864402211988, -2.5342917352885173, 2.1780972450961724, 1.0736310778185112, 0.2636892218148923, 7.774059159302992, 1.3093195559732003, 0.1, 0.11633668782871713, 0.3836633121712828, 0.37211222927623905, 0.527887770723761, 0.6, -4.0123889803846895, 5.785997463615912, 1.0115510828950438, 0.9762736075639251, 0.9988970064136851, 1.101979912317913, 1.048597173337228, 1.148597173337228, 1.248597173337228, 1.3485971733372277, 1.4485971733372278, 1.548597173337228, 1.6625410586991085, 1.7481287459383523]"
H_2,-1.8496717733196644,10,0.5,"[1.3726707834532181, 4.7734564877430365, -3.3526157016283613, 6.2520954367089105, -3.5211103974994735, 6.639125422746016, -4.890486225480862, 8.496680715673207, -5.983447536849381, 8.263990040803996, 9.42477796076938, 8.902286031407144, -2.1577431127404303, 9.42477796076938, -4.726546111921191, 5.660101769385415, -4.100228508332021, 2.74703589220028, -0.026492753941022067, 0.46192866179704445, 4.752911484451505, -1.4935147898257481, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
H_2,-1.8496717733197467,10,1.0,"[1.3726707834532181, 4.7734564877430365, -3.3526157016283613, 6.2520954367089105, -3.5211103974994735, 6.639125422746016, -4.890486225480862, 8.496680715673207, -5.983447536849381, 8.263990040803996, 9.42477796076938, 8.902286031407144, -2.1577431127404303, 9.42477796076938, -4.726546111921191, 5.660101769385415, -4.100228508332021, 2.74703589220028, -0.026492753941022067, 0.46192866179704445, 4.752911484451505, -1.4935147898257481, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
